query,expected,retrieved_title,rank,llm_score,llm_reason
Farm boy joins a galactic rebellion and learns about the Force,Star Wars,Foreign Fields,1,0,The film is a war drama about a Danish farm boy joining a peacekeeping force; it has no connection to a galactic rebellion or the Force.
Farm boy joins a galactic rebellion and learns about the Force,Star Wars,The Empire Strikes Back,2,3,"The Empire Strikes Back features Luke Skywalker, a farm boy who joins the Rebel Alliance and learns the ways of the Force, directly matching the query."
Farm boy joins a galactic rebellion and learns about the Force,Star Wars,Star Wars: The Force Awakens,3,1,"Star Wars: The Force Awakens is part of the same franchise but its overview focuses on Han Solo and Kylo Ren, not a farm boy learning the Force, so relevance is only partial."
Hobbit journeys to a volcano to destroy a powerful ring,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,1,3,"Exact match to the expected movie; same title, characters, and plot about the hobbit’s journey to destroy the ring."
Hobbit journeys to a volcano to destroy a powerful ring,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Return of the King,2,2,"Highly relevant – same series and plot about the hobbits reaching Mount Doom, but it is a different installment (The Return of the King) rather than the requested Fellowship."
Hobbit journeys to a volcano to destroy a powerful ring,The Lord of the Rings: The Fellowship of the Ring,The Return of the King,3,1,Related animated version of The Return of the King; shares core plot elements but differs in format and is not the specific film requested.
The patriarch of a crime dynasty transfers control to his reluctant son,The Godfather,The Godfather,1,3,Exact match: The Godfather directly matches the query about a crime dynasty patriarch transferring control to his reluctant son.
The patriarch of a crime dynasty transfers control to his reluctant son,The Godfather,Nobel Son,2,0,"Irrelevant: Nobel Son is about a Nobel‑prize father and kidnapping, unrelated to a crime dynasty."
The patriarch of a crime dynasty transfers control to his reluctant son,The Godfather,The Mobfathers,3,1,"Partial relevance: The Mobfathers involves a crime boss choosing a successor, but it is a different film and lacks the specific father‑to‑reluctant‑son transfer described."
Twelve jurors debate the guilt of a young man in a small room,12 Angry Men,12,1,2,"A modern Russian remake of '12 Angry Men' with the same premise, but not the exact requested film."
Twelve jurors debate the guilt of a young man in a small room,12 Angry Men,12 Angry Men,2,3,Exact match to the expected movie '12 Angry Men'.
Twelve jurors debate the guilt of a young man in a small room,12 Angry Men,12 Angry Men,3,3,Duplicate of the exact match to the expected movie '12 Angry Men'.
Lion prince flees home after his father's death only to return as an adult,The Lion King,The Chronicles of Narnia: Prince Caspian,1,0,Wrong movie; unrelated plot and characters despite a lion mention.
Lion prince flees home after his father's death only to return as an adult,The Lion King,The Lion King,2,3,Exact match to the query; The Lion King features a lion prince who flees after his father's death and returns as an adult.
Lion prince flees home after his father's death only to return as an adult,The Lion King,Prince of the Himalayas,3,1,"Shares a similar theme of a prince dealing with a father's death and returning, but it is a human drama, not a lion prince, making it only a partial connection."
Scientists and children visit a theme park with cloned dinosaurs,Jurassic Park,Jurassic Park,1,3,Exact match: Jurassic Park features scientists and grandchildren visiting a dinosaur theme park with cloned dinosaurs.
